Area_Code,Area_Unit_Description
518600,Royal Oak
509000,Paremoremo East
518500,Three Kings
617200,Inlet-Takapuna Head
512300,Te Atatu Central
521111,Paerata-Cape Hill
508804,Pinehill
508803,Unsworth Heights
523602,Ferguson
518301,Maungawhau
523601,Otara South
521112,Eden Road-Hill Top
518302,Mt Eden South
507000,Waiake
508704,Northcross
508703,Fairview
508701,Albany
524200,Mangere South
511800,Sunnyvale
521116,Buckland
508010,Takapuna Central
508805,Windsor Park
508610,Monarch Park
508806,North Harbour West
522100,Papatoetoe West
508807,North Harbour East
508510,Forrest Hill
513800,Karekare
511700,Kelston Central
518202,Mt Eden East
524111,Mangere Central
524112,Mascot
518101,Mt Eden North
518102,Sherbourne
521122,Kingseat
521121,Patumahoe
518201,Balmoral
508620,Sunnybrae
508120,Bayswater
515802,Epsom South
515801,Epsom Central
518702,Hillsborough East
518701,Hillsborough West
518803,Akarana
520602,Panmure Basin
518802,Wesley
520601,Tamaki
518801,Walmsley
508020,Hauraki
520801,Waiheke Island
515003,Point Chevalier South
515002,Point Chevalier East
515001,Point Chevalier West
515100,Westmere
520803,Bays-Waiheke Island
518901,Lynfield North
520804,Tidal-Waiheke Island
518902,Lynfield South
520402,Hamlin
520401,Ferndale
616200,Rakitu Island
523102,Meadowland
523101,Howick South
520201,Ellerslie North
521000,Great Barrier Island
520202,Ellerslie South
517800,Mt Albert Central
507720,Crown Hill
512201,Matipo
512202,Durham Green
509100,Greenhithe
521202,Whangapouri Creek
521203,Bremner
512401,Edmonton
521802,Fairburn
521151,Awhitu
521803,Otahuhu East
521152,Glenbrook
521801,Otahuhu North
507102,Oaktree
507101,Browns Bay
512000,Titirangi South
519900,Oranga
512700,Waima
515700,Epsom North
507710,Castor Bay
515600,Eden Terrace
512402,Wakeling
522201,Papatoetoe North
512600,Konini
522202,Papatoetoe Central
512802,Armour Bay
512905,Oratia West
512906,Oratia
521160,Bombay
512801,Laingholm
512903,Parrs Park West
512904,Parrs Park
512902,Otimai
515902,Parnell West
515901,Parnell East
521132,Hunua
521134,Paparata
524121,Arahanga
524122,Viscount
517002,Glen Innes East
517001,Glen Innes West
517902,Owairaka West
517903,Owairaka East
520303,Mt Wellington North
520302,Mt Wellington West
520301,Mt Wellington Domain
506614,Tahekeroa
507200,Rothesay Bay
506613,Tauhoa-Puhoi
617503,Tidal-Motutapu and Browns Islands
617501,Oceanic-Auckland Region East
523818,Redoubt East
617502,Tidal-Great Barrier Island
523817,Hyperion
523819,Mill Road
523814,Totara Heights
523813,Ardmore
617400,Inlet-Hobson Bay
523816,Randwick Park
524402,Mangere Station
522301,Dingwall
517901,Springleigh
511602,Glendene South
511601,Glendene North
524303,Kohuora
512100,Green Bay
524302,Aorere
524301,Mangere East
511902,Crum Park
516101,Remuera West
516102,Waitaramoa
511901,Kaurilands
517500,Kingsland
524001,Ambury
524002,Mangere Bridge
524403,Favona West
524404,Favona North
522302,Papatoetoe East
524405,Favona South
617102,Inlet-Kaipara River
516302,Meadowbank South
617101,Inlet-Kaipara Harbour South
516301,Meadowbank North
517701,Sandringham North
517702,Sandringham West
517703,Sandringham East
525922,Bledisloe Park
525921,Pukekohe West
524812,Weymouth East
524811,Weymouth West
507300,Murrays Bay
616002,Inlet-Port Fitzroy
616001,Kaikoura and Rangiahua Islands
511100,Glen Eden East
524822,Clendon South
524821,Clendon North
517100,Point England
507500,Campbells Bay
511002,Woodglen
511001,Tangutu
523112,Highbrook
523113,Greenmount
523114,Point View
523115,Baverstock Oaks
523110,Kilkenny
523711,Rongomai
523712,Donegal Park
523713,Ormiston
514103,Auckland Central East
521602,Howick Central
523911,Takanini North
514900,Waterview
523912,Takanini South
514101,Auckland Harbourside
521601,Howick West
514102,Auckland Central West
523109,Dannemora
514200,Newton
521502,Cockle Bay
521501,Mellons Bay
523106,Millhouse
523105,Golfland
523107,Burswood
510210,Birkdale North
516201,Orakei South
516202,Waiata
521901,Otahuhu West
521902,Middlemore
524902,Manurewa East
524901,Hillpark
510010,Beachhaven North
517600,St Lukes
523116,Mission Heights
510220,Birkdale South
617704,Tidal-Eastern Bays
516900,Glen Innes North
617703,Tamaki Strait
617702,Tidal-Tamaki
617605,Inlet-Manukau Harbour
617604,Tidal-Manukau Harbour
617602,Oceanic-Auckland Region West
508520,Sunnynook
510020,Beachhaven South
523820,Redoubt South
517201,St Johns
517202,Stonefields
523000,Pakuranga East
523721,Clover Park
523722,Redoubt North
616100,Cape Barrier
520500,Mt Wellington South
617606,Tidal-Manukau Harbour North
523920,Takanini West
507400,Mairangi Bay
505909,Wade Heads
513432,Hobsonville South
513431,Hobsonville East
513302,Fairdene
513301,Kingdale
505902,Manly
505300,Wellsford
511301,New Lynn North
505904,Army Bay
505906,Vipond
505908,Stanmore Bay East
505907,Stanmore Bay West
508900,Long Bay
505910,Gulf Harbour
505911,Gulf Harbour Marina
616300,Browns Island
525630,Papakura North East
510800,Henderson South
525620,Massey Park
505500,Warkworth
524510,Harania North
515500,Arch Hill
509800,Northcote South
505400,Leigh
515302,Ponsonby East
524603,Puhinui South
524604,Manukau Central
505601,Waimauku
509400,Mt Victoria
505602,Huapai
515301,Ponsonby West
524602,Wiri
505603,Riverhead Urban
505700,Waipareira West
515202,St Marys
509500,Stanley Bay
515201,Herne Bay
514700,Blockhouse Bay
514402,Glenavon
525610,Papakura East
514401,Roberton
514802,Avondale West
514301,Grafton West
514801,Rosebank
514302,Grafton East
511302,New Lynn South
511303,Lynnmall
510700,Henderson North
525700,Red Hill
522721,Pigeon Mountain South
522722,Highland Park
522723,Elsmore Park
516400,Orakei North
515420,Grey Lynn East
524530,Harania East
517400,Newmarket
522730,Half Moon Bay
616400,Aiguilles Island
525001,Manurewa Central
525002,Beaumont
522711,Pigeon Mountain North
522712,Murvale
505604,Kumeu East
505605,Kumeu West
524520,Harania West
524711,Burbank
524712,Homai West
515410,Grey Lynn West
524713,Rowandale
525102,Wattle Farm
525101,Leabank
519400,One Tree Hill East
519500,Penrose
524720,Homai East
514000,Freemans Bay
525201,Clevedon
525202,Kawakawa-Orere
516800,Glendowie
522810,Pakuranga North
522603,Bleakhouse
522604,Bucklands Beach South
615800,Mokohinau Island
522605,Half Moon Bay Marina
506202,Orewa West
522601,Bucklands and Eastern Beaches
506201,Silverdale North
516001,Mt Hobson
617903,Auckland City-Marinas
525520,Opaheke
525910,Pukekohe North
516003,Abbotts Park
516002,Remuera South
617800,Inlet-Waiuku River
522820,Sunnyhills
515432,St Lukes North
522400,Puhinui North
515431,Surrey Crescent
617901,Inlet-Waitemata Harbour
617902,Tidal-Waitemata Harbour
511401,Fruitvale
511402,Rewarewa
525510,Papakura South
506631,Snells Beach
526105,South Waiuku
506633,Algies Bay
526104,Waiuku East
526103,Waiuku West
525540,Pahurehure
506903,Torbay
506902,Glamorgan
506634,Mahurangi
523300,Beachlands-Maraetai
513631,Waimumu North
513632,Waimumu South
513101,Swanson
513102,Swanson South
506620,Kawau
508320,Glenfield North
525530,Rosehill
516700,St Heliers
516500,Mission Bay
520000,Te Papapa
506901,Awaruku
506616,Matheson Bay
506657,Point Wells
506656,Waitakere West
506659,Matakana
506658,Omaha
506653,Riverhead
506652,Rewiti
506655,Muriwai Valley
506654,Muriwai Beach
525420,Papakura North
522910,Pakuranga Central
519820,Onehunga South East
509702,Tuff Crater
615900,Little Barrier Island
509701,Ocean View
506648,Helensville South
509300,Narrow Neck
506647,Kaukapakapa
506646,Kaukapakapa Rural
506645,Parakai Urban
514500,New Windsor
506644,Parakai Rural
506642,South Head
512500,Mcleod
514600,Avondale South
525410,Papakura Central
521302,Runciman
521301,Drury
507900,Westlake
506300,Dairy Flat-Redvale
519810,Onehunga South West
522920,Edgewater
519001,Waikowhai West
510500,Birkenhead East
519002,Waikowhai East
523202,Turanga
523201,Shelly Park
521201,Hingaia
513530,Royal Heights
505808,Red Beach East
505806,Silverdale Central
505807,Red Beach West
